week,day,value
2,thursday,180
2,tuesday,460
2,wednesday,290
4,friday,910
4,monday,970
4,thursday,720
4,tuesday,370
4,wednesday,660
5,monday,340
5,thursday,140
5,tuesday,200
5,wednesday,360
6,friday,900
6,monday,380
6,saturday,830
6,thursday,90
6,tuesday,600
6,wednesday,290
7,friday,450
7,monday,370
7,thursday,360
7,tuesday,150
7,wednesday,360
8,friday,240
8,monday,10
8,thursday,640
8,tuesday,260
8,wednesday,570
9,friday,320
9,monday,530
9,tuesday,660
9,wednesday,420
10,friday,600
10,thursday,470
10,tuesday,400
10,wednesday,360
11,friday,390
11,monday,440
11,thursday,240
11,tuesday,240
11,wednesday,90
12,monday,920
12,thursday,550
12,tuesday,190
12,wednesday,10
13,friday,130
13,monday,70
13,thursday,260
13,tuesday,40
14,friday,60
14,monday,570
14,thursday,250
14,wednesday,310
15,friday,360
15,monday,340
15,tuesday,290
15,wednesday,400
16,friday,470
16,monday,200
16,thursday,140
17,friday,290
17,monday,250
17,thursday,310
17,wednesday,120
18,friday,350
18,monday,270
18,tuesday,210
18,wednesday,330
19,friday,280
19,monday,160
19,thursday,220
19,tuesday,370
19,wednesday,370
20,friday,230
20,monday,150
20,thursday,230
20,tuesday,280
20,wednesday,90
21,friday,290
21,monday,510
21,thursday,350
21,tuesday,440
21,wednesday,470
22,friday,160
22,thursday,200
22,tuesday,380
22,wednesday,220
23,friday,430
23,monday,410
23,thursday,340
23,tuesday,130
23,wednesday,550
24,friday,210
24,thursday,250
24,tuesday,330
25,friday,60
25,thursday,100
25,tuesday,210
25,wednesday,330
26,friday,120
,monday,350
,thursday,190
,tuesday,40
,wednesday,170
27,friday,190
,thursday,180
,tuesday,130
28,friday,220
,monday,410
,thursday,240
,tuesday,230
,wednesday,350
29,friday,70
,thursday,370
,tuesday,400
,wednesday,260
30,friday,200
,monday,280
,thursday,260
,tuesday,200
,wednesday,250
31,friday,170
,monday,370
,thursday,190
32,friday,20
,thursday,160
,tuesday,290
33,friday,90
,monday,450
,thursday,170
,tuesday,300
,wednesday,330
34,friday,420
,monday,530
,thursday,580
,tuesday,220
,wednesday,590
35,monday,490
,thursday,90
,tuesday,390
,wednesday,140
36,friday,470
,thursday,300
,tuesday,350
,wednesday,190
37,friday,340
,monday,380
,thursday,370
,tuesday,390
,wednesday,290
38,friday,390
,saturday,1070
,thursday,390
,wednesday,550
39,friday,320
,thursday,260
,tuesday,90
40,wednesday,160
41,friday,340
,monday,10
,thursday,650
,tuesday,40
,wednesday,220
42,monday,100
,thursday,310
,wednesday,360
43,thursday,420
,tuesday,540
,wednesday,560
44,friday,130
,thursday,100
,tuesday,380
,wednesday,270
45,monday,550
,thursday,280
,tuesday,440
,wednesday,250
46,friday,170
,wednesday,380
47,tuesday,460
48,friday,170
,monday,110
,thursday,60
,wednesday,60
49,friday,150
,monday,160
,tuesday,350
,wednesday,160
50,friday,200
,monday,150
,tuesday,270
,wednesday,160
51,monday,260
,thursday,60
,tuesday,360
,wednesday,260
52,friday,150
,thursday,50
,wednesday,220
