week,day,value
1,Sunday,0
1,monday,0
1,tuesday,0
1,wednesday,0
1,thursday,0
1,friday,0
1,saturday,0
2,Sunday,0
2,monday,0
2,tuesday,460
2,wednesday,290
2,thursday,180
2,friday,0
2,saturday,0
3,Sunday,0
3,monday,0
3,tuesday,0
3,wednesday,0
3,thursday,0
3,friday,0
3,saturday,0
4,friday,910
4,monday,970
4,thursday,720
4,tuesday,370
4,wednesday,660
4,saturday,0
4,Sunday,0
5,monday,340
5,thursday,140
5,tuesday,200
5,Sunday,0
5,saturday,0
5,wednesday,360
5,friday,0
6,friday,900
6,monday,380
6,saturday,830
6,thursday,90
6,tuesday,600
6,wednesday,290
6,Sunday,0
7,friday,450
7,monday,370
7,thursday,360
7,tuesday,150
7,wednesday,360
7,Sunday,0
7,saturday,0
8,friday,240
8,monday,10
8,thursday,640
8,tuesday,260
8,wednesday,570
8,Sunday,0
8,saturday,0
9,friday,320
9,monday,530
9,tuesday,660
9,wednesday,420
9,Sunday,0
9,saturday,0
9,thursday,0
10,friday,600
10,thursday,470
10,tuesday,400
10,wednesday,360
10,monday,0
10,saturday,0
10,Sunday,0
11,friday,390
11,monday,440
11,thursday,240
11,tuesday,240
11,wednesday,90
11,saturday,0
11,Sunday,0
12,monday,920
12,thursday,550
12,tuesday,190
12,wednesday,10
12,friday,0
12,saturday,0
12,Sunday,0
13,friday,130
13,monday,70
13,thursday,260
13,tuesday,40
13,wednesday,0
13,saturday,0
13,Sunday,0
14,friday,60
14,monday,570
14,thursday,250
14,wednesday,310
14,tuesday,0
14,saturday,0
14,Sunday,0
15,friday,360
15,monday,340
15,tuesday,290
15,wednesday,400
15,thursday,0
15,saturday,0
15,Sunday,0
16,friday,470
16,monday,200
16,thursday,140
16,tuesday,0
16,wednesday,0
16,saturday,0
16,Sunday,0
17,saturday,0
17,Sunday,0
17,friday,290
17,monday,250
17,thursday,310
17,wednesday,120
17,tuesday,0
18,friday,350
18,monday,270
18,tuesday,210
18,wednesday,330
18,thursday,0
18,saturday,0
18,Sunday,0
19,saturday,0
19,Sunday,0
19,friday,280
19,monday,160
19,thursday,220
19,tuesday,370
19,wednesday,370
20,friday,230
20,monday,150
20,thursday,230
20,tuesday,280
20,wednesday,90
20,Sunday,0
20,saturday,0
21,friday,290
21,monday,510
21,thursday,350
21,tuesday,440
21,wednesday,470
21,saturday,0
21,Sunday,0
22,friday,160
22,thursday,200
22,tuesday,380
22,wednesday,220
22,monday,0
22,Sunday,0
22,saturday,0
23,friday,430
23,monday,410
23,thursday,340
23,tuesday,130
23,wednesday,550
23,Sunday,0
23,saturday,0
24,friday,210
24,thursday,250
24,tuesday,330
24,monday,0
24,wednesday,0
24,Sunday,0
24,saturday,0
25,friday,60
25,thursday,100
25,tuesday,210
25,wednesday,330
25,monday,0
25,Sunday,0
25,saturday,0
26,Sunday,0
26,saturday,0
26,friday,120
26,monday,350
26,thursday,190
26,tuesday,40
26,wednesday,170
27,friday,190
27,thursday,180
27,tuesday,130
27,monday,0
27,wednesday,0
27,saturday,0
27,Sunday,0
28,saturday,0
28,Sunday,0
28,friday,220
28,monday,410
28,thursday,240
28,tuesday,230
28,wednesday,350
29,friday,70
29,thursday,370
29,tuesday,400
29,wednesday,260
29,monday,0
29,saturday,0
29,Sunday,0
30,friday,200
30,monday,280
30,thursday,260
30,tuesday,200
30,wednesday,250
30,saturday,0
30,Sunday,0
31,friday,170
31,monday,370
31,thursday,190
31,tuesday,0
31,wednesday,0
31,saturday,0
31,Sunday,0
32,friday,20
32,thursday,160
32,tuesday,290
32,monday,0
32,wednesday,0
32,saturday,0
32,Sunday,0
33,friday,90
33,monday,450
33,thursday,170
33,tuesday,300
33,wednesday,330
33,saturday,0
33,Sunday,0
34,friday,420
34,monday,530
34,thursday,580
34,tuesday,220
34,wednesday,590
34,saturday,0
34,Sunday,0
35,monday,490
35,thursday,90
35,tuesday,390
35,wednesday,140
35,friday,0
35,saturday,0
35,Sunday,0
36,friday,470
36,thursday,300
36,tuesday,350
36,wednesday,190
36,monday,0
36,saturday,0
36,Sunday,0
37,friday,340
37,monday,380
37,thursday,370
37,tuesday,390
37,wednesday,290
37,saturday,0
37,Sunday,0
38,friday,390
38,saturday,1070
38,thursday,390
38,wednesday,550
38,monday,0
38,tuesday,0
38,Sunday,0
39,friday,320
39,thursday,260
39,tuesday,90
39,monday,0
39,wednesday,0
39,saturday,0
39,Sunday,0
40,monday,0
40,tuesday,0
40,wednesday,160
40,thursday,0
40,friday,0
40,saturday,0
40,Sunday,0
41,friday,340
41,monday,10
41,thursday,650
41,tuesday,40
41,wednesday,220
41,saturday,0
41,Sunday,0
42,monday,100
42,thursday,310
42,wednesday,360
42,tuesday,0
42,friday,0
42,saturday,0
42,Sunday,0
43,thursday,420
43,tuesday,540
43,wednesday,560
43,monday,0
43,friday,0
43,saturday,0
43,Sunday,0
44,friday,130
44,thursday,100
44,tuesday,380
44,wednesday,270
44,monday,0
44,saturday,0
44,Sunday,0
45,monday,550
45,thursday,280
45,tuesday,440
45,wednesday,250
45,friday,0
45,saturday,0
45,Sunday,0
46,friday,170
46,wednesday,380
46,monday,0
46,tuesday,0
46,thursday,0
46,saturday,0
46,Sunday,0
47,tuesday,460
47,monday,0
47,wednesday,0
47,thursday,0
47,friday,0
47,saturday,0
47,Sunday,0
48,friday,170
48,monday,110
48,thursday,60
48,wednesday,60
48,tuesday,0
48,saturday,0
48,Sunday,0
49,friday,150
49,monday,160
49,tuesday,350
49,wednesday,160
49,thursday,0
49,saturday,0
49,Sunday,0
50,friday,200
50,monday,150
50,tuesday,270
50,wednesday,160
50,thursday,0
50,saturday,0
50,Sunday,0
51,monday,260
51,thursday,60
51,tuesday,360
51,wednesday,260
51,friday,0
51,saturday,0
51,Sunday,0
52,friday,150
52,thursday,50
52,wednesday,220
52,monday,0
52,tuesday,0
52,saturday,0
52,Sunday,0
